@relation input2000

@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute class {walking,standing,jogging,sitting}

@data
0.24517,-14.07,-0.84446,walking
-0.57205,-14.628,-1.757,walking
-1.8115,-14.873,-1.3484,walking
-0.69464,-12.939,-3.0918,walking
0.8717,-12,-1.5663,walking
0.20431,-11.468,4.3449,walking
0.50395,-12.503,4.3177,walking
2.6015,-16.086,3.4187,walking
4.9442,-17.87,2.0839,walking
4.699,-15.963,2.2201,walking
4.5083,-14.492,2.0294,walking
4.4947,-11.101,0.040861,walking
4.2768,-10.529,1.5391,walking
1.866,-8.8805,6.7557,walking
-1.4846,-9.0167,3.6503,walking
-1.471,-4.7126,2.2882,walking
-1.7706,-2.9011,3.5004,walking
0.24517,-3.1327,4.4402,walking
0.34051,-3.1599,3.9363,walking
-0.068102,-2.9011,3.0918,walking
0.83084,-0.69464,1.7025,walking
1.1169,-0.68102,0.57205,walking
2.3427,-1.9068,-1.2667,walking
10.161,-13.116,-12,walking
13.988,-19.15,-17.053,walking
8.9894,-19.545,-12.803,walking
5.4618,-8.9077,-6.5786,walking
5.5707,-5.6388,-5.5299,walking
4.6718,-9.1256,-3.6503,walking
2.8875,-17.216,-3.5958,walking
7.4776,-12.544,6.565,walking
6.5105,-2.8875,10.215,walking
0.9398,-2.2882,-2.2746,walking
1.7706,-9.6704,-1.3484,walking
2.1929,-11.809,7.2324,walking
0.89894,-12.953,7.7772,walking
-2.261,-15.05,7.641,walking
-4.0316,-16.821,-0.24517,walking
-3.1327,-14.097,-1.0624,walking
-1.8387,-10.992,-0.42223,walking
0.38137,-7.3141,-0.38137,walking
1.4574,-7.641,-1.2258,walking
2.2201,-6.96,-0.95342,walking
1.3212,-7.8045,-0.44947,walking
0.5993,-8.2539,-0.17706,walking
0.27241,-8.322,0.1362,walking
0.78998,-8.6217,0.28603,walking
1.3893,-9.2891,0.64016,walking
1.471,-10.556,1.2803,walking
1.2395,-10.828,1.1577,walking
-0.21793,-12.054,-0.24517,walking
-1.7025,-13.974,-1.1577,walking
-3.8546,-12.967,-3.5822,walking
-3.8954,-11.4,-2.5061,walking
-2.6287,-13.511,-1.8387,walking
-2.261,-15.759,-0.20431,walking
-0.55843,-15.541,-1.0624,walking
0.43585,-13.307,-2.9011,walking
3.2553,-10.569,0.6674,walking
1.9886,-9.5479,3.3915,walking
0.27241,-11.605,4.2768,walking
2.1929,-18.851,2.0431,walking
3.4459,-18.578,1.8251,walking
4.0316,-17.311,1.9068,walking
3.7047,-15.309,1.3484,walking
4.0725,-11.863,-0.14982,walking
3.9363,-9.6432,1.7025,walking
1.7706,-9.2482,6.0611,walking
1.7706,-9.2482,6.0611,walking
1.7706,-9.2482,6.0611,walking
-1.3484,-1.9341,3.6775,walking
-0.85808,-2.3427,4.5901,walking
0.095342,-2.2882,3.514,walking
-0.040861,-1.9613,2.9148,walking
0.01362,-0.8717,2.1929,walking
1.3757,-1.7298,-0.57205,walking
4.2768,-5.3392,-5.8976,walking
12.367,-17.025,-15.868,walking
12.34,-19.45,-16.154,walking
6.8238,-16.195,-8.6217,walking
6.8919,-11.005,-5.0531,walking
7.6683,-9.5887,-4.7399,walking
6.1836,-15.091,-6.7966,walking
5.4345,-11.754,7.1507,walking
0.58567,8.7034,12.708,walking
0.58567,7.4095,9.6432,walking
2.8467,-13.811,0.47671,walking
4.0316,-13.906,8.5808,walking
2.2337,-13.811,8.9622,walking
-3.8546,-15.119,5.9793,walking
-4.6173,-16.903,1.6208,walking
-3.8954,-15.636,0.55843,walking
-1.9886,-11.073,0.69464,walking
-0.49033,-8.7579,0.31327,walking
1.757,-7.7091,-1.2531,walking
2.4925,-7.3141,-0.64016,walking
2.4517,-7.0553,-0.44947,walking
1.3893,-7.355,-0.42223,walking
0.35413,-7.7772,0.36775,walking
0.7355,-7.9543,0.35413,walking
1.6344,-9.5751,0.83084,walking
1.9205,-10.311,1.3757,walking
1.6072,-10.828,1.4165,walking
0.5993,-11.414,0.50395,walking
-2.0703,-14.138,-1.4574,walking
-4.0044,-13.062,-5.2438,walking
-3.514,-10.515,-3.051,walking
-1.5255,-13.579,-2.833,walking
-1.5255,-14.478,-0.47671,walking
-0.28603,-15.091,-1.1032,walking
-0.65378,-13.443,-2.5061,walking
0.83084,-12.476,1.7979,walking
0.40861,-12.217,5.0259,walking
1.076,-14.601,4.7535,walking
2.8194,-18.401,3.6094,walking
4.9578,-18.66,2.1929,walking
5.1349,-15.881,2.2882,walking
4.0044,-11.918,0.6674,walking
2.547,-11.182,0.14982,walking
0.78998,-10.488,2.1248,walking
-0.7355,-10.746,5.9521,walking
