@relation input750Bru

@attribute Ax numeric
@attribute Ay numeric
@attribute Az numeric
@attribute Lx numeric
@attribute Ly numeric
@attribute Lz numeric
@attribute Gx numeric
@attribute Gy numeric
@attribute Gz numeric
@attribute Class {walking,standing,jogging,sitting}

@data
3.5413,-12.653,0.40861,0.51892,-3.351,-0.30071,-2.1716,0.20861,1.0794,walking
2.2337,-12.721,0.12258,-0.66115,-3.3743,-0.52678,-2.3305,1.7413,1.0516,walking
0.29965,-10.311,0.91256,-2.1996,-0.84944,0.2719,-2.3271,1.3512,0.93096,walking
0.83084,-8.3629,1.4029,-1.5634,1.1205,0.69343,-2.2376,1.2993,0.75778,walking
1.185,-7.2733,1.6072,-1.1563,2.2162,0.80829,-2.2297,1.3867,0.4948,walking
1.3076,-6.9055,1.6344,-0.99927,2.5842,0.74377,-2.1438,1.5989,0.32651,walking
1.8932,-6.3062,1.3212,-0.46128,3.1566,0.28123,-1.9203,1.8579,0.34453,walking
1.7843,-5.7614,1.076,-0.60161,3.6888,-0.006123,-1.5165,1.7404,0.3543,walking
1.6481,-4.6445,0.85808,-0.82274,4.7742,-0.30492,-1.0776,1.5614,0.37782,walking
1.6481,-4.2904,0.76274,-0.87752,5.1108,-0.42457,-0.3488,1.3796,0.42486,walking
1.6072,-4.0452,0.64016,-0.97595,5.3386,-0.56042,0.098044,1.2101,0.47525,walking
1.5119,-4.1133,0.39499,-1.1601,5.247,-0.79483,0.57971,1.0763,0.52626,walking
1.5391,-4.4947,-0.19068,-1.1684,4.868,-1.2768,1.0684,1.069,0.57482,walking
1.6889,-4.9987,-1.0351,-1.0564,4.3764,-1.8959,1.5159,1.0989,0.64019,walking
2.1112,-8.9622,-5.0259,-0.60806,0.45522,-4.728,1.8457,0.9499,0.58399,walking
2.4108,-11.891,-7.6546,-0.16719,-2.5089,-6.4261,1.752,0.65057,0.40959,walking
3.0918,-19.395,-13.579,1.0434,-8.6759,-9.397,0.87659,0.12706,0.095295,walking
2.8875,-15.718,-12.068,0.85276,-6.8187,-8.4851,-1.346,0.49052,0.16524,walking
3.1191,-9.8339,-7.4095,1.0354,-1.0523,-3.5738,-1.0751,0.68875,0.32315,walking
3.8954,-8.2948,-5.0531,1.6609,0.40885,-1.1258,-0.16646,1.0653,0.35094,walking
7.0962,-13.021,-2.6968,4.2466,-4.3222,0.82159,0.27367,0.90255,-0.1182,walking
7.8589,-13.13,-2.8603,4.7207,-4.4482,0.44857,0.29932,0.30665,-0.47342,walking
6.1836,-12.313,-1.7025,2.8934,-3.6017,1.3736,0.10293,-0.19059,-0.56872,walking
0.54481,-11.741,-2.0431,-2.4707,-2.8374,0.75111,-0.34086,-0.39615,-0.37263,walking
-2.2065,-9.221,-1.2667,-4.8258,-0.16602,1.4384,-0.38607,-0.4667,0.31368,walking
0.40861,-3.909,7.464,-3.8754,3.5083,6.2884,0.5901,-1.1087,0.78954,walking
2.9965,-4.4266,6.3743,0.42076,5.0071,7.11,1.9957,-1.7978,0.57941,walking
3.1599,-6.5105,2.9148,0.4423,2.9048,3.2852,1.9783,-1.5073,-0.042455,walking
1.076,-10.215,0.68102,-1.4601,-0.74575,0.93957,1.3812,-0.86285,-0.48228,walking
-1.0624,-14.056,1.6617,-2.7983,-4.4053,1.5304,1.2611,-0.58582,-0.66493,walking
0.58567,-12.64,-0.12258,-0.99501,-2.9618,-0.22635,1.138,-0.25504,-0.57727,walking
3.3778,-8.1313,0.85808,1.6237,1.5163,0.7284,1.624,-0.91721,-0.036041,walking
3.8682,-7.6002,1.5663,1.8797,1.9989,1.2941,2.2,-1.0602,0.25656,walking
