@relation tes

@attribute Ax numeric
@attribute Ay numeric
@attribute Az numeric
@attribute Lx numeric
@attribute Ly numeric
@attribute Lz numeric
@attribute Gx numeric
@attribute Gy numeric
@attribute Gz numeric
@attribute Class {walking,standing,jogging,sitting}

@data
4.5901,-2.0431,2.656,0.76963,6.937,3.6223,0.47495,-1.2327,-0.11881,walking
3.732,-2.4517,1.9341,-0.30694,6.4528,2.6874,1.8418,-0.697,-0.84574,walking
0.054481,-8.9622,4.1542,-3.6968,0.098022,4.258,2.2965,-2.211,-0.99143,walking
-6.565,-18.673,7.5457,-9.1231,-9.2271,6.9194,3.2663,-4.1267,0.054978,walking
-2.0294,-11.196,-0.84446,-3.3199,-1.5072,-1.6408,3.2889,-3.4725,0.76022,walking
2.6287,-7.9815,-2.6015,1.1943,1.7069,-3.0982,2.3534,-1.201,0.35369,walking
5.1349,-6.3335,-2.2201,3.3091,3.2984,-2.4716,2.1478,-0.36285,-0.94409,walking
5.993,-5.0123,-0.81722,3.686,4.5179,-0.97195,1.7355,-0.87476,-0.83322,walking
0.027241,-10.569,1.7025,-2.066,-0.99594,1.3317,2.1594,-1.2923,-0.19823,walking
-1.9477,-11.237,1.7979,-3.6229,-1.5877,1.2896,2.0369,-1.2746,-0.035125,walking
-0.70826,-9.6023,0.57205,-2.1541,0.083362,0.055291,1.6625,-1.4004,-0.021686,walking
2.5742,-8.145,-1.2803,0.94928,1.5228,-1.5328,1.4917,-1.2654,-0.22449,walking
2.1793,-8.2812,-1.1169,0.4748,1.3755,-1.2314,1.3366,-0.78221,-0.52412,walking
0.23155,-9.8884,-0.25879,-1.2956,-0.20136,-0.25639,1.3763,-0.25015,-0.73059,walking
-0.69464,-10.651,-0.8036,-1.9839,-0.92994,-0.71909,1.3686,-0.61697,-0.67378,walking
-0.44947,-10.488,-1.7025,-1.5543,-0.74662,-1.4541,1.2407,-0.73426,-0.61667,walking
