@relation tes2

@attribute Ax numeric
@attribute Ay numeric
@attribute Az numeric
@attribute Lx numeric
@attribute Ly numeric
@attribute Lz numeric
@attribute Gx numeric
@attribute Gy numeric
@attribute Gz numeric
@attribute Class {walking,standing,sitting,jogging}

@data
-0.74912,-10.665,-0.25879,-1.9316,-1.0296,-1.6503,0.81306,-0.86285,-0.70372,walking
-0.65378,-10.719,-0.27241,-1.9647,-1.1182,-1.7796,0.68264,-0.75411,-0.69852,walking
-0.57205,-11.264,-0.040861,-2.0455,-1.7017,-1.6411,0.42699,-0.41111,-0.57482,walking
-0.91256,-11.087,-0.44947,-2.4627,-1.543,-2.0864,0.23854,-0.18906,-0.43005,walking
-1.3212,-11.319,0.23155,-2.9057,-1.7786,-1.3965,0.050396,-0.19059,-0.27855,walking
-0.77636,-11.536,-0.14982,-2.35,-1.991,-1.7554,0.022907,-0.17746,-0.092546,walking
0.027241,-12.095,-1.2803,-1.5405,-2.5415,-2.8444,-0.088881,-0.13195,-0.043066,walking
-1.0624,-15.268,-1.5391,-2.5669,-5.6788,-2.9343,-0.64202,0.009163,0.021075,walking
-1.2258,-15.568,-1.8387,-2.6582,-5.9416,-3.0429,-0.87781,0.18967,0.16799,walking
-1.4574,-14.71,-1.6344,-2.8092,-5.0554,-2.6984,-1.8799,0.73059,0.52107,walking
1.7434,-11.605,-1.3484,0.57206,-1.8822,-1.8722,-2.6359,1.3506,0.58399,walking
3.3234,-10.42,1.7298,2.2428,-0.67282,1.6696,-3.2159,2.6484,0.56627,walking
2.6832,-11.387,3.1872,1.6832,-1.6409,3.6247,-3.1744,2.4914,0.6182,walking
4.6173,-14.397,0.20431,3.6784,-4.7087,1.401,-3.1863,0.84391,0.56474,walking
4.8625,-15.091,-1.1577,3.9169,-5.4404,0.30382,-2.8408,-0.73365,0.35277,walking
3.8682,-14.928,-1.9205,1.4822,-5.3607,0.24272,-2.0904,-1.8268,0.32223,walking
1.2395,-15.105,4.0589,0.52786,-5.6322,6.4943,-1.3048,-1.0699,0.85307,walking
1.7979,-13.035,2.9011,1.2451,-3.5755,5.4288,-0.72021,3.6221,1.4584,walking
0.53119,-10.556,1.5255,0.018916,-1.0964,4.0609,-1.9377,3.751,1.4945,walking
-0.85808,-8.1722,-0.35413,-1.2909,1.188,2.5388,-2.3381,1.6747,0.967,walking
0.095342,-5.9657,1.5527,-0.26488,3.2041,5.0104,-2.2617,2.2003,0.56261,walking
0.58567,-4.9306,1.3484,0.14724,4.0931,5.163,-2.0882,2.3225,0.27733,walking
1.0079,-3.9499,1.5391,0.34354,4.8731,5.7681,-1.6573,2.3088,0.19028,walking
1.7843,-3.8001,1.3893,0.95842,4.927,5.7855,-0.83505,2.0666,0.27428,walking
2.3291,-4.0316,1.3212,1.4268,4.6681,5.7564,-0.24557,1.6945,0.36866,walking
2.4789,-4.1542,0.9398,1.4681,4.5243,5.3932,0.25412,1.2535,0.43768,walking
2.833,-4.3858,-0.92618,1.7429,4.3402,3.4143,0.73334,0.6918,0.54825,walking
2.8467,-5.9385,-2.0567,1.7872,2.8681,2.1258,1.2422,0.18937,0.74006,walking
2.261,-9.221,-4.6582,1.3053,-0.30082,-0.69736,1.503,-0.1182,0.90958,walking
0.61292,-14.369,-11.278,-0.078184,-5.3338,-7.5293,1.1219,-0.3821,0.87598,walking
1.9886,-13.579,-12.326,1.3541,-4.5534,-8.5452,0.58002,-0.4835,0.36102,walking
2.0567,-12.612,-8.8941,1.1482,-3.1685,-5.1004,0.26084,0.89309,0.058338,walking
1.2258,-11.645,-4.6037,0.53529,-2.6071,-0.86177,0.16463,0.94623,0.049175,walking
0.95342,-10.42,-3.8273,0.19706,-1.3725,-0.11937,-0.16707,0.95967,-0.013439,walking
0.89894,-7.7091,-4.6854,0.10333,1.3269,-0.95865,-0.44624,1.1921,-0.023213,walking
3.5413,-5.2166,-2.5606,2.5691,3.7284,1.3398,-0.6576,0.47831,0.15455,walking
6.279,-10.896,1.185,5.2714,-1.9411,5.0529,1.5333,-1.0586,0.004276,walking
5.0259,-15.01,-0.53119,4.0015,-5.9757,3.1444,1.9532,-0.94073,-0.019548,walking
1.3757,-15.377,0.36775,0.50253,-6.0974,3.4157,0.83475,-2.6402,-0.076358,walking
1.6753,-9.1665,4.2359,0.86169,0.14941,7.1893,0.73182,-1.9545,0.064141,walking
3.1054,-4.127,5.6388,2.3937,5.2491,8.4233,1.2746,-1.9022,-0.096517,walking
3.2416,-4.3177,4.2359,2.5491,5.098,6.8885,1.9438,-1.6735,-0.34789,walking
-4.2087,-10.801,1.1032,-4.6991,-1.102,2.4675,2.2349,-2.8662,-0.30268,walking
-4.2087,-10.801,1.1032,-4.6991,-1.102,2.4675,2.2349,-2.8662,-0.30268,walking
-1.2939,-9.7658,1.2531,-1.782,-0.00505,2.0656,1.8305,-2.5782,-0.64782,walking
-0.98067,-9.9701,1.6208,-1.5167,-0.19932,2.2651,1.5406,-1.8418,-0.98746,walking
-0.31327,-11.223,0.51757,-1.0056,-1.4483,0.89562,1.4172,-1.3109,-0.83353,walking
0.64016,-9.4798,0.24517,-0.21114,0.28987,0.25044,1.4157,-1.3088,-0.41966,walking
0.68102,-9.0303,0.027241,-0.20054,0.73617,-0.070127,1.0959,-1.1515,-0.24893,walking
-0.095342,-8.9758,0.6674,-1.0199,0.77954,0.2817,1.208,-1.3265,-0.08094,walking
0.38137,-9.5479,-0.027241,-0.54614,0.1972,-0.61364,1.2657,-1.6237,0.066584,walking
0.70826,-9.8611,-0.81722,-0.22355,-0.12177,-1.4858,1.0525,-1.2969,-0.069333,walking
-0.14982,-9.8611,-0.35413,-1.1371,-0.14342,-1.227,0.78954,-0.99785,-0.35094,walking
-0.6674,-9.5206,0.43585,-1.7253,0.17812,-0.55687,0.81062,-0.90378,-0.46548,walking
-0.69464,-9.2891,0.9398,-1.8871,0.3707,-0.25901,0.93249,-0.91477,-0.56413,walking
-0.46309,-9.6023,0.99429,-1.7059,0.041186,-0.28167,1.0137,-0.75625,-0.68875,walking
-0.51757,-10.324,0.83084,-1.8868,-0.72093,-0.60871,1.0571,-0.53115,-0.77366,walking
-0.19068,-11.904,-1.2803,-1.7411,-2.3625,-2.9304,0.99632,-0.4383,-0.76419,walking
0.38137,-12.217,-1.9068,-1.2854,-2.7129,-3.6549,0.82681,-0.42791,-0.65943,walking
0.35413,-12.313,-1.5527,-1.3521,-2.8169,-3.3099,0.25717,-0.3262,-0.5397,walking
-0.70826,-12.122,0.19068,-2.5085,-2.6442,-1.5696,0.011301,-0.42883,-0.42425,walking
-0.89894,-12.217,-0.55843,-2.7443,-2.7401,-2.2748,0.010996,-0.43585,-0.22938,walking
-0.85808,-12.326,-1.0488,-2.6944,-2.8398,-2.7229,-0.042761,-0.1909,-0.10354,walking
-2.2474,-15.064,-1.2667,-4.0083,-5.5379,-2.7902,-0.31887,-0.009468,0.07025,walking
-2.2882,-15.827,-2.0703,-3.968,-6.2694,-3.486,-0.99052,0.82314,0.41172,walking
-2.3699,-12.19,-1.5391,-4.0376,-4.0287,-3.1681,-1.3415,1.0253,0.57574,walking
0.43585,-10.188,-1.6889,-0.83381,-0.492,-2.4276,-2.1841,1.102,0.78771,walking
2.9284,-10.297,0.095342,1.8078,-0.55753,-0.14506,-3.4343,2.7061,0.7422,walking
3.0918,-11.741,2.7241,2.0224,-1.9926,2.7401,-3.2574,2.2669,0.62094,walking
3.4732,-14.424,1.7025,2.5026,-4.6962,2.4768,-3.0394,0.58338,0.52595,walking
3.3915,-14.764,-0.50395,2.4799,-5.0864,0.7901,-2.77,-0.56597,0.46456,walking
2.2882,-14.478,-0.96704,1.516,-4.9024,1.0009,-2.3384,-1.1277,0.56352,walking
2.0975,-17.053,5.6116,1.4855,-7.5112,7.7925,-0.80695,0.28986,1.0134,walking
2.5061,-15.514,2.6696,1.954,-5.9657,4.8385,-1.397,3.748,1.6649,walking
0.55843,-11.468,1.471,0.13958,-1.9332,3.7242,-2.299,3.616,1.6695,walking
-0.31327,-6.9055,0.44947,-0.53145,2.4708,3.3143,-2.5275,1.5959,1.2269,walking
-0.70826,-6.4833,2.1929,-0.82462,2.76,5.4667,-2.4062,2.1496,0.90042,walking
-0.78998,-5.5026,2.0431,-0.89473,3.6722,5.5045,-2.08,2.398,0.72388,walking
0.24517,-3.9908,2.2337,0.01111,4.9204,6.321,-1.6377,2.5348,0.52809,walking
1.4846,-3.7184,2.3427,1.1797,5.1454,6.5273,-1.1133,2.4548,0.44685,walking
2.5879,-2.9692,1.8251,2.0858,5.8136,6.1588,-0.48778,2.105,0.41722,walking
