@relation tes4

@attribute Ax numeric
@attribute Ay numeric
@attribute Az numeric
@attribute Lx numeric
@attribute Ly numeric
@attribute Lz numeric
@attribute Gx numeric
@attribute Gy numeric
@attribute Gz numeric
@attribute Class {walking,jogging,standing,sitting}

@data
1.3484,-9.902,-2.942,-1.5095,-0.61087,-1.6467,2.4764,0.21014,1.8433,walking
1.6889,-10.106,-3.6639,-0.67515,-0.61294,-2.9874,2.2813,1.4154,1.7208,walking
2.2201,-10.379,-4.2904,0.16746,-0.7934,-4.0095,1.952,2.055,1.7568,walking
2.942,-10.706,-4.6173,1.0452,-1.0849,-4.4985,1.7562,2.4285,1.8561,walking
4.2223,-11.264,-4.9578,2.823,-1.5635,-5.2926,1.5782,2.4624,1.9859,walking
4.9987,-11.523,-5.6797,3.9657,-1.7878,-6.2567,1.4096,2.1533,2.0604,walking
5.1894,-11.264,-6.2517,4.5305,-1.5087,-7.0067,1.2507,1.6851,2.0369,walking
5.5162,-10.12,-7.355,5.3537,-0.35406,-8.2336,1.0996,1.2171,1.905,walking
5.7886,-9.616,-7.7636,5.918,0.14464,-8.7039,0.96395,0.40225,1.5327,walking
5.9521,-9.4389,-8.1177,6.1669,0.32289,-9.0297,0.84086,-0.26542,1.2269,walking
5.6252,-9.8611,-8.1041,6.0632,-0.10516,-8.9983,0.64446,-0.89797,0.90286,walking
5.0123,-10.215,-7.641,5.548,-0.46298,-8.5222,0.3091,-1.2147,0.59956,walking
4.0861,-10.665,-7.0281,4.6733,-0.90965,-7.8429,-0.089492,-1.0638,0.30849,walking
3.337,-12.258,-7.246,3.8947,-2.4811,-7.7616,-0.51252,-0.50763,0.015272,walking
3.5685,-12.286,-6.9055,4.0744,-2.498,-7.2499,-1.2205,0.57055,-0.4948,walking
4.3721,-12.49,-6.1019,4.7707,-2.6914,-6.1355,-1.5369,0.88942,-0.84055,walking
5.5299,-13.321,-4.699,5.5817,-3.5292,-4.1566,-1.8118,0.8601,-1.204,walking
6.0883,-13.988,-3.9635,5.837,-4.2297,-3.0254,-1.9682,0.53023,-1.5366,walking
6.1292,-14.642,-3.5685,5.5217,-4.9459,-2.231,-2.0589,0.058338,-1.8182,walking
5.8976,-15.8,-3.0918,4.6749,-6.2651,-1.1506,-2.1389,-0.4218,-2.047,walking
5.2302,-15.895,-2.7649,3.7941,-6.4331,-0.62469,-2.4047,-0.76205,-2.3369,walking
4.413,-15.132,-2.3291,2.594,-5.843,0.23466,-2.5714,-0.59437,-2.5479,walking
3.5413,-13.375,-1.8115,1.325,-4.3064,1.1911,-2.6625,-0.27519,-2.8039,walking
2.942,-11.291,-1.3212,0.05488,-2.651,2.3093,-2.6615,0.018937,-3.0794,walking
2.9829,-10.501,-1.1305,-0.40872,-2.2213,2.8833,-2.594,0.22724,-3.3298,walking
2.9965,-10.229,-1.0215,-0.92754,-2.3621,3.3243,-2.4896,0.32376,-3.4993,walking
3.1463,-10.256,-0.54481,-1.5676,-3.0795,4.1929,-2.3943,0.28986,-3.587,walking
3.0918,-10.433,-0.31327,-2.1107,-3.7588,4.6422,-2.2626,0.18906,-3.5812,walking
2.9965,-10.474,-0.29965,-2.423,-4.0362,4.7356,-2.0983,0.011301,-3.3558,walking
2.5742,-10.188,-0.1362,-3.4177,-4.4921,5.1386,-2.0125,-0.011606,-3.0708,walking
2.3155,-9.9429,0.027241,-3.9913,-4.7344,5.4372,-1.9019,0.043371,-2.7263,walking
1.7706,-9.6977,0.24517,-4.8007,-4.9387,5.7533,-1.8069,0.16921,-2.3265,walking
0.35413,-9.0848,1.2803,-6.5436,-4.8807,6.8407,-1.5751,0.54062,-1.7,walking
-0.12258,-9.2482,1.7706,-7.2214,-5.3408,7.2941,-1.3014,0.80604,-1.2419,walking
-0.35413,-9.6023,1.9477,-7.539,-5.773,7.4144,-0.98563,0.95967,-0.74526,walking
-0.14982,-9.1529,1.7298,-7.5737,-5.486,6.9843,-0.6689,0.94745,-0.23885,walking
0.28603,-8.0224,1.3757,-7.2558,-4.3739,6.4727,-0.27886,0.77549,0.2868,walking
0.49033,-8.0224,1.471,-7.1089,-4.2795,6.4119,0.17654,0.37385,0.75808,walking
0.40861,-10.392,2.0158,-7.1151,-6.2425,6.7427,0.64843,-0.15485,1.4639,walking
0.64016,-11.346,1.9205,-6.8053,-6.9641,6.5612,1.2285,-0.1576,1.9108,walking
1.2939,-12.204,1.8251,-5.9777,-7.3782,6.298,1.635,-0.059865,2.3329,walking
3.3234,-12.844,0.8036,-3.5633,-7.1799,4.8855,2.0369,-0.083689,2.6325,walking
4.1814,-13.362,0.19068,-2.3807,-7.1261,3.9627,2.4294,-0.37354,2.7862,walking
4.7671,-13.866,-0.49033,-1.3994,-7.0613,2.9515,2.748,-0.85277,2.8201,walking
4.6037,-14.547,-1.4846,-0.83045,-6.925,1.44,2.9554,-1.3689,2.78,walking
4.3449,-14.315,-1.8932,-0.81199,-6.4395,0.85511,2.9798,-1.8063,2.682,walking
3.732,-13.076,-2.7377,-0.90676,-4.7849,-0.30506,2.872,-1.7342,2.6078,walking
2.6151,-11.4,-3.3506,-1.249,-2.6001,-1.4019,2.6994,-1.3268,2.522,walking
1.7706,-10.379,-3.3506,-1.6164,-1.315,-1.7548,2.5143,-0.64477,2.4089,walking
1.3484,-9.9973,-3.1872,-1.5953,-0.72232,-1.9711,2.3289,0.20617,2.2947,walking
1.7979,-9.8339,-3.5549,-0.5265,-0.32805,-2.9173,2.0357,1.4334,2.2272,walking
